id,category_id,name_en,name_fi,description_en,description_fi,price,discount_price,currency,dietary_tags,allergens,available,image_url,order_links,options_group_ids
samosa,appetizers,Vegetable Samosa,Kasvissanosa,Crispy fried pastry filled with spiced vegetables,Rapeita paistettuja taikinakierryksiä maustetuilla vihanneksilla,6.90,,EUR,vegan,,TRUE,assets/images/image1.jpg,,spice_level
onion_bhaji,appetizers,Onion Bhaji,Sipulibhaji,Golden fried onion fritters with chutneys,Kultaiseksi paistettuja sipulipannukakkuja chutneyn kanssa,7.90,,EUR,vegetarian,,TRUE,assets/images/image1.jpg,,spice_level
chicken_curry,curries,Chicken Curry,Kana-curry,Traditional Bengali chicken curry with aromatic spices,Perinteinen Bengali-kana-curry aromaattisilla mausteilla,16.90,15.90,EUR,,dairy,TRUE,assets/images/image1.jpg,,spice_level
fish_curry,fish,Hilsa Fish Curry,Hilsa-kalacurry,Bengali specialty fish curry with mustard oil,Bengali-erikoisuus kalacurrya sinappiöljyllä,19.90,,EUR,,fish,TRUE,assets/images/image1.jpg,,spice_level
mutton_biryani,biryani,Mutton Biryani,Lammasbiryani,Fragrant basmati rice with tender mutton pieces,Tuoksuvaa basmati-riisiä mureilla lammasnpaloilla,18.90,,EUR,,dairy,TRUE,assets/images/image1.jpg,,spice_level
vegetable_biryani,biryani,Vegetable Biryani,Kasvisbiryani,Aromatic rice with mixed vegetables and spices,Aromikasta riisiä sekavihannesilla ja mausteilla,14.90,,EUR,vegetarian,,TRUE,assets/images/image1.jpg,,spice_level
dal,vegetarian,Dal Tadka,Dal Tadka,Yellow lentils tempered with cumin and spices,Keltaisia linssejä kuminalla ja mausteilla,11.90,,EUR,vegan,,TRUE,assets/images/image1.jpg,,spice_level
aloo_gobi,vegetarian,Aloo Gobi,Aloo Gobi,Spiced potatoes and cauliflower curry,Maustettuja perunoita ja kukkakaalicurrya,12.90,,EUR,vegan,,TRUE,assets/images/image1.jpg,,spice_level
rasgulla,desserts,Rasgulla,Rasgulla,Traditional Bengali sweet cheese dumplings,Perinteisiä Bengali-juustomykkyjä,5.90,,EUR,vegetarian,dairy,TRUE,assets/images/image1.jpg,,
mishti_doi,desserts,Mishti Doi,Mishti Doi,Sweet yogurt dessert,Makea jugurttijälkiruoka,4.90,,EUR,vegetarian,dairy,TRUE,assets/images/image1.jpg,,
mango_lassi,beverages,Mango Lassi,Mango Lassi,Traditional yogurt drink with fresh mango,Perinteinen jogurttijuoma tuoreella mangolla,4.90,,EUR,vegetarian,dairy,TRUE,assets/images/image1.jpg,,
masala_chai,beverages,Masala Chai,Masala Chai,Spiced tea with milk and traditional spices,Maustettua teetä maidolla ja perinteisillä mausteilla,3.90,,EUR,vegetarian,dairy,TRUE,assets/images/image1.jpg,,,
baba_ganoush,sides,Baba Ganoush,Baba Ganoush,Smoky roasted eggplant dip,Savuista paahdettu munakoiso dippi,6.90,,EUR,"vegan,gluten-free","sesame",TRUE,assets/images/menu/baba-ganoush.jpg,,,
dolmas,sides,Stuffed Vine Leaves,Täytetyt viiniköynnöksen lehdet,Rice-stuffed vine leaves with herbs,Riisillä täytetyt viiniköynnöksen lehdet yrttien kanssa,7.90,,EUR,"vegan,gluten-free",,TRUE,assets/images/menu/dolmas.jpg,,,
pita_bread,sides,Warm Pita Bread,Lämmin pitaleipä,Fresh baked pita bread,Tuoretta leipottua pitaleipää,3.90,,EUR,"vegan","gluten",TRUE,assets/images/menu/pita-bread.jpg,,,
fresh_orange_juice,drinks,Fresh Orange Juice,Tuore appelsiinimehu,Freshly squeezed orange juice,Tuoretta puristettua appelsiinimehua,4.90,,EUR,"vegan,gluten-free",,TRUE,assets/images/menu/orange-juice.jpg,,,
mint_lemonade,drinks,Fresh Mint Lemonade,Tuore minttulimsa,Refreshing lemonade with fresh mint,Virkistävää limsaa tuoreella mintulla,4.50,,EUR,"vegan,gluten-free",,TRUE,assets/images/menu/mint-lemonade.jpg,,,
turkish_tea,drinks,Turkish Tea,Turkkilainen tee,Traditional black tea served in glass,Perinteistä mustaa teetä lasissa tarjoiltuna,3.50,,EUR,"vegan,gluten-free",,TRUE,assets/images/menu/turkish-tea.jpg,,,
